References:	 ['ElMiron', 'Mota', 'Ust_Ishim', 'Kostenki14', 'GoyetQ116-1', 'Vestonice16', 'MA1', 'Villabruna', 'EHG', 'CHG', 'Natufian', 'Greece_N', 'Levant_N']
target	feasible	Anatolia_N	Armenia_ChL	Steppe_MLBA	Tunisia_N	Megiddo_MLBA_original	prob	nested-p	nested_p_with_Anatolia_N	nested_p_with_Armenia_ChL	nested_p_with_Steppe_MLBA	nested_p_with_Tunisia_N	nested_p_with_Megiddo_MLBA_original	valid
Birgi_183	False	0.267	-0.421	0.447	0.036	0.671	0.217863	nan	0	0	0	0	0	False
Birgi_183	True	0.589	0.027	0.252	0.132	0	0.0055004	0.0003849221223707344	0	0	0	0	0.0003849221223707344	False
Birgi_183	False	0.215	-0.511	0.489	0	0.807	0.29427	0.9127706190965604	0	0	0	0.9127706190965604	0	False
Birgi_183	False	0.462	0.434	0	0.111	-0.007	1.3594e-05	1.292773934569169e-07	0	0	1.292773934569169e-07	0	0	False
Birgi_183	True	0.355	0	0.255	0.072	0.318	0.0302719	0.005434083743657392	0	0.005434083743657392	0	0	0	False
Birgi_183	False	0	-0.617	0.541	-0.024	1.100	0.0890196	0.0370959762313422	0.0370959762313422	0	0	0	0	False
Birgi_183	True	0.619	0.183	0.198	0	0	3.20964e-06	5.767165689452014e-08	0	0	0	5.2798217894389765e-06	7.797377632456914e-09	False
Birgi_183	True	0.458	0.425	0	0.117	0	2.28738e-05	6.363608883175331e-07	0	0	6.569389230126621e-05	0	0.4172669076368529	False
Birgi_183	True	0.269	0.392	0	0	0.339	8.84118e-07	1.2265198190419824e-08	0	0	1.5898103944422814e-09	0.0034438527526022833	0	False
Birgi_183	True	0.601	0	0.272	0.127	0	0.00577703	0.000886260174312925	0	0.22804718652119593	0	0	0.011884626893678196	False
Birgi_183	True	0.233	0	0.251	0	0.516	0.0144266	0.0033259497718304276	0	0.0007344410597855955	0	0.05496986009841709	0	True
Birgi_183	True	0.325	0	0	0.040	0.634	4.34034e-13	7.771561172376096e-16	0	1.0527212435107458e-10	3.6637359812630166e-15	0	0	False
Birgi_183	False	0	1.204	-0.286	0.082	0	3.92268e-21	0.0	0.0	0	0	0	0.0	False
Birgi_183	False	0	-0.168	0.352	0	0.812	1.05599e-22	0.0	0.0	0	0	0.0	0	False
Birgi_183	True	0	0.389	0	0.015	0.596	1.71278e-08	1.1946477140867273e-10	2.4294511920208706e-05	0	1.2727141562862698e-10	0	0	False
Birgi_183	True	0	0	0.259	0.007	0.734	0.00109924	9.087732843915397e-05	0.0009705092094727252	0.00015870587886801513	0	0	0	False
Birgi_183	True	0.518	0.482	0	0	0	1.02386e-07	1.8227582776475515e-09	0	0	0.001346987828206081	0.00010310393481094415	0.007367962977938625	False
Birgi_183	True	0.697	0	0.301	0	0	5.12672e-06	1.850840660733155e-07	0	0.3701979297592485	0	7.4152882187927815e-06	1.8662854969209164e-06	False
Birgi_183	True	0.841	0	0	0.159	0	1.76384e-14	0.0	0	1.1232126340132709e-12	6.661338147750939e-16	0	0.0019962289447931214	False
Birgi_183	False	-6.238	0	0	0	7.238	0	0.0	0	0.0	0.0	0.0	0	False
Birgi_183	False	0	1.294	-0.295	0	0	3.74367e-18	0.0	9.992007221626409e-16	0	0	1.0	1.0	False
Birgi_183	True	0	0.856	0	0.144	0	1.18022e-17	0.0	3.3306690738754696e-16	0	1.0	0	1.9615420399077266e-12	False
Birgi_183	True	0	0.412	0	0	0.588	2.03271e-08	2.8072399960166194e-10	0.000909645343541654	0	1.0	0.1871388267413442	0	True
Birgi_183	True	0	0	0.637	0.363	0	0	0.0	0.0	0.0	0	0	0.0	False
Birgi_183	True	0	0	0.260	0	0.740	0.00239126	0.00041351211052220727	0.009544460035105007	1.0	0	1.0	0	True
Birgi_183	False	0	0	0	-0.006	1.006	3.19016e-14	1.1102230246251565e-16	0.004102231041205773	1.4345316490249616e-08	1.4099832412739488e-14	0	0	False
Birgi_183	True	1.000	0	0	0	0	1.0893e-19	0.0	0	9.992007221626409e-16	0.0	7.660739720360965e-08	1.0	False
Birgi_183	True	0	1.000	0	0	0	4.11258e-21	0.0	0.0	0	2.9558560343923013e-05	7.953554277628783e-06	2.220446049250313e-16	False
Birgi_183	True	0	0	1.000	0	0	0	0.0	0.0	0.0	0	0.0	0.0	False
Birgi_183	True	0	0	0	1.000	0	0	0.0	0.0	0.0	0.0	0	0.0	False
Birgi_183	True	0	0	0	0	1.000	2.1824e-13	1.2212453270876722e-15	1.0	9.379532617259656e-08	2.8976820942716586e-14	1.0	0	True
Birgi_176	False	0.614	-0.037	0.256	0.016	0.152	0.286813	nan	0	0	0	0	0	False
