,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,main run,birgi_16,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian","tail_prob=0.05, p_value=0.05",megiddo_mlba_original,"anatolia_n, steppe_mlba","armenia_chl, tunisia_n",7,1,0,0,1,

,valid models,"feasible                                      True
Anatolia_N                                   0.178
Armenia_ChL                                  0.155
Steppe_MLBA                                      0
Tunisia_N                                    0.105
Megiddo_MLBA_original                        0.561
prob                                      0.213797
nested-p                                 0.0187573
nested_p_with_Anatolia_N                  0.151012
nested_p_with_Armenia_ChL                0.0191803
nested_p_with_Steppe_MLBA                0.0187573
nested_p_with_Tunisia_N                  0.0155505
nested_p_with_Megiddo_MLBA_original    0.000229218
Name: 468, dtype: object","feasible                                      True
Anatolia_N                                   0.128
Armenia_ChL                                      0
Steppe_MLBA                                  0.045
Tunisia_N                                    0.088
Megiddo_MLBA_original                        0.739
prob                                     0.0666123
nested-p                                0.00200386
nested_p_with_Anatolia_N                  0.283759
nested_p_with_Armenia_ChL               0.00200386
nested_p_with_Steppe_MLBA                 0.226453
nested_p_with_Tunisia_N                  0.0504331
nested_p_with_Megiddo_MLBA_original    3.47484e-07
Name: 469, dtype: object","feasible                                      True
Anatolia_N                                   0.143
Armenia_ChL                                      0
Steppe_MLBA                                      0
Tunisia_N                                    0.078
Megiddo_MLBA_original                        0.779
prob                                     0.0644674
nested-p                                0.00406842
nested_p_with_Anatolia_N                 0.0733238
nested_p_with_Armenia_ChL                0.0191803
nested_p_with_Steppe_MLBA                 0.226453
nested_p_with_Tunisia_N                          0
nested_p_with_Megiddo_MLBA_original    5.71522e-07
Name: 476, dtype: object","feasible                                    True
Anatolia_N                                     0
Armenia_ChL                                0.137
Steppe_MLBA                                    0
Tunisia_N                                  0.068
Megiddo_MLBA_original                      0.795
prob                                    0.170577
nested-p                               0.0225279
nested_p_with_Anatolia_N                0.151012
nested_p_with_Armenia_ChL              0.0100275
nested_p_with_Steppe_MLBA               0.111559
nested_p_with_Tunisia_N                  0.01906
nested_p_with_Megiddo_MLBA_original            0
Name: 479, dtype: object","feasible                                     True
Anatolia_N                                      0
Armenia_ChL                                     0
Steppe_MLBA                                 0.047
Tunisia_N                                   0.067
Megiddo_MLBA_original                       0.886
prob                                    0.0708554
nested-p                               0.00476004
nested_p_with_Anatolia_N                 0.283759
nested_p_with_Armenia_ChL               0.0175452
nested_p_with_Steppe_MLBA               0.0605959
nested_p_with_Tunisia_N                 0.0942055
nested_p_with_Megiddo_MLBA_original             0
Name: 480, dtype: object","feasible                                     True
Anatolia_N                                      0
Armenia_ChL                                 0.123
Steppe_MLBA                                     0
Tunisia_N                                       0
Megiddo_MLBA_original                       0.877
prob                                     0.051922
nested-p                               0.00446259
nested_p_with_Anatolia_N                 0.191635
nested_p_with_Armenia_ChL                0.298921
nested_p_with_Steppe_MLBA                       1
nested_p_with_Tunisia_N                   0.01906
nested_p_with_Megiddo_MLBA_original             0
Name: 487, dtype: object","feasible                                     True
Anatolia_N                                      0
Armenia_ChL                                     0
Steppe_MLBA                                     0
Tunisia_N                                       0
Megiddo_MLBA_original                           1
prob                                    0.0561014
nested-p                               0.00679855
nested_p_with_Anatolia_N                        1
nested_p_with_Armenia_ChL                0.298921
nested_p_with_Steppe_MLBA                  0.4148
nested_p_with_Tunisia_N                         1
nested_p_with_Megiddo_MLBA_original             0
Name: 495, dtype: object"
0,classification,Not Compact,Not Compact,Not Compact,Compact that Contain a Compact,Not Compact,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation anatolia n in reference set,birgi_16,"armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,anatolia_n","tail_prob=0.05, p_value=0.05",megiddo_mlba_original,"armenia_chl, steppe_mlba, tunisia_n",,6,1,0,0,0,

,valid models,"feasible                                    True
Armenia_ChL                                0.122
Steppe_MLBA                                    0
Tunisia_N                                   0.05
Megiddo_MLBA_original                      0.827
prob                                    0.157892
nested-p                               0.0545431
nested_p_with_Armenia_ChL              0.0781002
nested_p_with_Steppe_MLBA              0.0545431
nested_p_with_Tunisia_N                0.0779564
nested_p_with_Megiddo_MLBA_original            0
Name: 228, dtype: object","feasible                                    True
Armenia_ChL                                    0
Steppe_MLBA                                0.033
Tunisia_N                                  0.041
Megiddo_MLBA_original                      0.925
prob                                   0.0787546
nested-p                               0.0124123
nested_p_with_Armenia_ChL              0.0124123
nested_p_with_Steppe_MLBA               0.458727
nested_p_with_Tunisia_N                 0.211812
nested_p_with_Megiddo_MLBA_original            0
Name: 229, dtype: object","feasible                                    True
Armenia_ChL                                0.117
Steppe_MLBA                                    0
Tunisia_N                                      0
Megiddo_MLBA_original                      0.883
prob                                   0.0966433
nested-p                               0.0333232
nested_p_with_Armenia_ChL               0.175186
nested_p_with_Steppe_MLBA                      1
nested_p_with_Tunisia_N                0.0779564
nested_p_with_Megiddo_MLBA_original            0
Name: 232, dtype: object","feasible                                    True
Armenia_ChL                                    0
Steppe_MLBA                                0.031
Tunisia_N                                      0
Megiddo_MLBA_original                      0.969
prob                                   0.0733221
nested-p                                0.020141
nested_p_with_Armenia_ChL                      1
nested_p_with_Steppe_MLBA               0.361984
nested_p_with_Tunisia_N                 0.211812
nested_p_with_Megiddo_MLBA_original            0
Name: 234, dtype: object","feasible                                    True
Armenia_ChL                                    0
Steppe_MLBA                                    0
Tunisia_N                                  0.042
Megiddo_MLBA_original                      0.958
prob                                   0.0967365
nested-p                               0.0333733
nested_p_with_Armenia_ChL              0.0781002
nested_p_with_Steppe_MLBA               0.458727
nested_p_with_Tunisia_N                 0.174834
nested_p_with_Megiddo_MLBA_original            0
Name: 235, dtype: object","feasible                                    True
Armenia_ChL                                    0
Steppe_MLBA                                    0
Tunisia_N                                      0
Megiddo_MLBA_original                          1
prob                                   0.0831064
nested-p                               0.0344651
nested_p_with_Armenia_ChL               0.175186
nested_p_with_Steppe_MLBA               0.361984
nested_p_with_Tunisia_N                 0.174834
nested_p_with_Megiddo_MLBA_original            0
Name: 239, dtype: object"
0,classification,Not Compact,Not Compact,Not Compact,Not Compact,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation armenia chl in reference set,birgi_16,"anatolia_n, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,armenia_chl","tail_prob=0.05, p_value=0.05",megiddo_mlba_original,"anatolia_n, steppe_mlba, tunisia_n",,5,1,0,0,0,

,valid models,"feasible                                      True
Anatolia_N                                   0.121
Steppe_MLBA                                   0.04
Tunisia_N                                    0.076
Megiddo_MLBA_original                        0.763
prob                                      0.106007
nested-p                                       NaN
nested_p_with_Anatolia_N                  0.100853
nested_p_with_Steppe_MLBA                 0.227249
nested_p_with_Tunisia_N                  0.0408314
nested_p_with_Megiddo_MLBA_original    3.15243e-07
Name: 225, dtype: object","feasible                                      True
Anatolia_N                                   0.119
Steppe_MLBA                                      0
Tunisia_N                                    0.073
Megiddo_MLBA_original                        0.808
prob                                      0.100958
nested-p                                  0.227249
nested_p_with_Anatolia_N                 0.0892416
nested_p_with_Steppe_MLBA                 0.227249
nested_p_with_Tunisia_N                  0.0653151
nested_p_with_Megiddo_MLBA_original    1.48256e-07
Name: 228, dtype: object","feasible                                    True
Anatolia_N                                     0
Steppe_MLBA                                0.041
Tunisia_N                                  0.055
Megiddo_MLBA_original                      0.904
prob                                   0.0711923
nested-p                                0.100853
nested_p_with_Anatolia_N                0.100853
nested_p_with_Steppe_MLBA               0.198415
nested_p_with_Tunisia_N                0.0950913
nested_p_with_Megiddo_MLBA_original            0
Name: 229, dtype: object","feasible                                    True
Anatolia_N                                     0
Steppe_MLBA                                    0
Tunisia_N                                  0.048
Megiddo_MLBA_original                      0.952
prob                                   0.0646783
nested-p                                0.113836
nested_p_with_Anatolia_N               0.0892416
nested_p_with_Steppe_MLBA               0.198415
nested_p_with_Tunisia_N                 0.393532
nested_p_with_Megiddo_MLBA_original            0
Name: 235, dtype: object","feasible                                    True
Anatolia_N                                     0
Steppe_MLBA                                    0
Tunisia_N                                      0
Megiddo_MLBA_original                          1
prob                                   0.0758022
nested-p                                0.166458
nested_p_with_Anatolia_N                0.639803
nested_p_with_Steppe_MLBA                      1
nested_p_with_Tunisia_N                 0.393532
nested_p_with_Megiddo_MLBA_original            0
Name: 239, dtype: object"
0,classification,Not Compact,Not Compact,Not Compact,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation megiddo mlba original in reference set,birgi_16,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,megiddo_mlba_original","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
